Thumb,Index,Middle,Ring,Pinky,Letter,
4095,3712,3817,3249,3729,0,
3774,3765,4068,3410,3447,0,
3855,3729,4080,3413,3717,0,
4015,3854,4095,3530,3761,0,
4095,3886,4095,3339,3730,0,
4095,3887,4095,3531,3952,0,
4095,3890,4095,3556,3712,0,
4006,3767,4092,3428,3779,0,
3973,3826,4095,3511,3776,0,
3873,3763,4095,3495,3744,0,
3887,3683,4095,3477,3754,0,
3827,3606,4095,3430,3780,0,
3917,3698,4062,3488,3746,0,
3842,3623,3822,3503,3664,0,
3934,3697,3981,3945,3729,0,
3920,3695,4061,3493,3746,0,
3909,3721,4094,3504,3689,0,
3943,3870,4095,3526,3730,0,
3973,3893,4095,3469,3807,0,
3978,3814,4095,3521,3777,0,
4095,3781,4095,3517,3583,0,
3941,3846,4095,3525,4037,0,
3972,3659,4095,3507,3792,0,
3999,3909,4095,3893,3754,0,
3986,3883,4095,3535,3683,0,
4067,3883,4095,3637,3775,0,
3988,3695,4095,3594,3705,0,
4095,3790,4095,3648,3937,0,
4061,3791,4095,3565,3847,0,
4043,3879,4095,3537,3822,0,
4087,3887,4095,3531,3877,0,
4062,3909,4095,3574,3825,0,
4011,3884,4095,3552,3845,0,
4061,3793,4095,3575,4080,0,
3935,3792,4095,3555,3813,0,
4024,3797,4095,3569,3846,0,
3819,3578,3905,3235,3373,0,
3842,3633,4011,3277,3451,0,
3792,3669,4013,3254,3451,0,
3824,3625,4007,3263,3413,0,
3804,3628,3985,3286,3467,0,
3831,3667,4016,3280,3408,0,
3821,3669,3989,3280,3441,0,
3834,3657,3995,2966,3472,0,
3807,3726,3971,3262,3435,0,
3860,3774,4051,3320,3483,0,
3904,3735,4041,3275,3463,0,
3818,3812,4033,3287,3442,0,
3920,3658,4027,3289,3479,0,
3756,3719,4019,3191,3503,0,
3856,3646,3803,3245,3410,0,
3855,3661,3882,3248,3446,0,
3891,3569,3911,3248,3472,0,
3846,3702,3911,3250,3494,0,normal
3265,2960,2687,2087,2245,1,Holding
3294,2992,2672,2120,2310,1,
3330,3024,2702,2147,2339,1,
3312,2957,2688,2107,2287,1,
3207,2963,2650,1840,2259,1,
3100,2991,2723,2064,2305,1,
3334,3095,2833,2115,2393,1,
3128,2976,2624,1985,2383,1,
3277,2879,2577,2015,2278,1,
3293,2957,2584,2035,2248,1,
3279,2944,2644,1978,2327,1,
