Thumb,Index,Middle,Ring,Pinky,Letter,
2550,2394,2555,2300,2568,0,open
2570,2384,2556,2291,2575,0,
2558,2390,2543,2294,2557,0,
2605,2440,2530,2227,2453,0,
2650,2528,2662,2337,2626,0,
2653,2530,2672,2376,2620,0,
2666,2534,2671,2394,2598,0,
2529,2459,2548,2210,2432,0,
2540,2431,2586,2229,2448,0,
2531,2499,2622,2283,2555,0,
2619,2502,2631,2301,2559,0,
2544,2446,2559,2113,2406,0,
2275,2169,2245,1897,2073,0,
2124,2022,2102,1776,1927,0,
2188,2032,2127,1831,2004,0,
2143,2059,2128,1902,2108,0,
2128,2066,2186,1895,2119,0,
2224,2111,2149,1883,2081,0,
1822,2032,2129,1875,2093,0,
2159,2106,2193,1962,2119,0,
2205,2084,2210,1929,2105,0,
2190,2091,2192,1915,2070,0,
2192,2102,2240,1971,2103,0,
2158,2087,2151,1893,2053,0,
2129,2066,2149,1914,2070,0,
2115,2075,2159,1910,2066,0,
2139,2096,2143,1910,2063,0,
2112,2064,2157,1904,2062,0,
2139,2069,2155,1914,2086,0,
2142,2055,2155,1906,2057,0,
2151,2096,2112,1907,2063,0,
2165,2064,2155,1902,2058,0,
2171,2042,2151,1899,2047,0,
2172,2032,2150,1891,2041,0,
2171,2038,2150,1890,2063,0,
2181,2078,2152,1895,2053,0,
2160,2087,2146,1910,2077,0,
2169,2066,2135,1904,2057,0,
2163,2090,2154,1891,2045,0,
2163,2070,2145,1903,2045,0,
2182,2065,2181,1894,2038,0,
2167,2062,2147,1885,2033,0,
2167,2058,2142,1871,1990,0,
2158,2073,2146,1853,1987,0,
2163,2074,2137,1851,1989,0,
2177,2076,2145,1845,2003,0,
2207,2089,2162,1855,1984,0,
2178,2103,2143,1855,1999,0,
2213,2096,2144,1849,2025,0,
1998,2019,2135,1936,2037,0,
2193,2121,2185,1951,2071,0,
2202,2096,2205,1968,2121,0,
2202,2096,2192,1984,2137,0,
2202,2097,2267,2000,2162,0,
2218,2096,2160,1998,2174,0,
2203,2095,2224,2096,2169,0,
2203,2091,2147,2000,2231,0,
2032,2005,2146,1869,2103,0,
2199,2091,2192,1917,2140,0,
2197,2096,2192,1994,2171,0,
2199,2086,2192,1925,2175,0,
2198,2099,2300,1933,2173,0,
2197,2149,2241,1942,2170,0,
2194,2166,2244,1936,2167,0,
2202,1952,2202,1937,2171,0,
2197,2047,2211,1936,2161,0,
2191,2074,2199,1933,2109,0,
2205,2075,2220,2006,2165,0,
2194,2087,2215,2047,2185,0,
2195,2070,2230,2053,2189,0,
2198,2037,2204,1901,2133,0,
2193,2035,2217,1910,2127,0,
2161,2037,2207,1908,2125,0,
1954,1814,2059,1829,1990,0,
2261,2037,2210,1911,2114,0,
2271,2013,2208,1918,2121,0,
2267,2036,2210,1917,2119,0,
2225,2145,2211,1919,2123,0,
2235,2155,2219,1923,2134,0,
2226,1966,2182,1882,2097,0,
2220,2067,2206,1897,2121,0,
2247,2067,2203,1920,2150,0,
2224,2078,2205,1882,2122,0,
2221,2074,2208,1918,2110,0,
2224,2073,2215,1919,2098,0,
1249,1325,1128,878,1195,1,close
1424,1412,1301,1019,1319,1,
1551,1427,1255,1042,1343,1,
1584,1505,1408,1130,1392,1,
1623,1513,1409,1154,1420,1,
1616,1514,1432,1163,1413,1,
1654,1488,1375,1152,1410,1,
1669,1511,1406,1142,1411,1,
1567,1499,1328,1197,1453,1,
1613,1488,1318,1201,1453,1,
1615,1488,1344,1200,1450,1,
1664,1520,1406,1237,1456,1,
1673,1617,1414,1231,1446,1,
1679,1532,1419,1120,1465,1,
1680,1517,1417,1233,1463,1,
1687,1520,1425,1231,1470,1,
1687,1535,1422,1292,1471,1,
1701,1535,1428,1248,1472,1,
1699,1533,1439,1250,1473,1,
