iter	RMSE
0	7.918500401
1	7.621560148
2	7.340031204
3	7.074042009
4	6.803386329
5	6.560732198
6	6.307848883
7	6.096058272
8	5.879513445
9	5.67475821
10	5.496996832
11	5.29356207
12	5.09057115
13	4.904555362
14	4.716149467
15	4.541323519
16	4.3793994
17	4.217148197
18	4.066375452
19	3.929261675
20	3.799757605
21	3.669537442
22	3.538564498
23	3.418192614
24	3.295440352
25	3.184775852
26	3.083076219
27	2.981198839
28	2.881584794
29	2.784683298
30	2.693491162
31	2.603264758
32	2.517997433
33	2.437717518
34	2.364733301
35	2.293322934
36	2.224727025
37	2.161331461
38	2.09696362
39	2.038284688
40	1.980366272
41	1.922941176
42	1.869676416
43	1.817663978
44	1.776322572
45	1.730572043
46	1.686829103
47	1.651257287
48	1.60702656
49	1.568771368
50	1.534058283
51	1.50370023
52	1.471599764
53	1.438293154
54	1.40782198
55	1.377922436
56	1.351696476
57	1.323946314
58	1.297053591
59	1.278162196
60	1.262452414
61	1.240300358
62	1.219011003
63	1.201667741
64	1.180199024
65	1.164192659
66	1.149719522
67	1.129254681
68	1.112867422
69	1.097973581
70	1.082064179
71	1.065175225
72	1.054446941
73	1.040695769
74	1.029237257
75	1.016353966
76	1.00599626
77	0.9954554031
78	0.983357067
79	0.9774522225
80	0.967242066
81	0.9587633629
82	0.9506891483
83	0.9431057313
84	0.9353852871
85	0.9303718909
86	0.9255939141
87	0.9184446577
88	0.9141178457
89	0.907047899
90	0.9024120504
91	0.8973398907
92	0.8903169807
93	0.8851024805
94	0.8783903987
95	0.8727527676
96	0.8660837843
97	0.862080439
98	0.8579653679
99	0.851900843
100	0.8481174951
101	0.8445365898
102	0.8412675905
103	0.8383592978
104	0.8337381997
105	0.8288672076
106	0.8251866934
107	0.8213538488
108	0.8189151004
109	0.8147521751
110	0.8116542394
111	0.807239389
112	0.8058383255
113	0.8008683857
114	0.7969566387
115	0.7922608981
116	0.789339008
117	0.7854500818
118	0.7813407353
119	0.7769227245
120	0.7728785676
121	0.7713351873
122	0.7684754926
123	0.7660389678
124	0.7631086662
125	0.7596815109
126	0.7585134794
127	0.7547965723
128	0.7521172831
129	0.7497908099
130	0.7453270385
131	0.7433255371
132	0.7411037838
133	0.7394147432
134	0.737532361
135	0.7335643379
136	0.730498406
137	0.7270570775
138	0.7258745362
139	0.7238677751
140	0.7219402726
141	0.7181497404
142	0.7159287417
143	0.7146657786
144	0.713339007
145	0.7120490956
146	0.7100193028
147	0.7096743889
148	0.7051884794
149	0.7030148915
150	0.6991821071
151	0.6959657968
152	0.6929170649
153	0.6889314045
154	0.6862629012
155	0.6848205465
156	0.6836697019
157	0.6826676112
158	0.6806831509
159	0.6782950044
160	0.6759195999
161	0.6750169377
162	0.6732592586
163	0.6713471941
164	0.6700502837
165	0.6678543064
166	0.6661447425
167	0.6634708365
168	0.6617515863
169	0.659390274
170	0.6587469086
171	0.6561426862
172	0.6542824713
173	0.6518484715
174	0.6495630195
175	0.6483834665
176	0.6472800978
177	0.6444936644
178	0.643752569
179	0.6429524559
180	0.6419594055
181	0.6386877667
182	0.6376990993
183	0.63591835
184	0.6337810044
185	0.6330300377
186	0.6307356447
187	0.6296613353
188	0.6287390538
189	0.6248955616
190	0.6227524184
191	0.6218180057
192	0.6207562049
193	0.6196725423
194	0.6183559047
195	0.6176264266
196	0.6156980823
197	0.6145635462
198	0.6127063404
199	0.6109242755
200	0.60965446
201	0.607594716
202	0.6056958939
203	0.6049771781
204	0.6023646645
205	0.6016313819
206	0.6000460014
207	0.5992120586
208	0.5976533871
209	0.5971361909
210	0.5962605437
211	0.5952931436
212	0.5939212258
213	0.5929835179
214	0.5914735733
215	0.5894622646
216	0.5881598775
217	0.5869841838
218	0.58569087
219	0.5843426886
220	0.582051894
221	0.5795861057
222	0.5780577632
223	0.5773752413
224	0.575241954
225	0.5739429592
226	0.5720382257
227	0.570716113
228	0.5704253797
229	0.5698546184
230	0.5695682975
231	0.5682531115
232	0.566632676
233	0.5652537789
234	0.564709979
235	0.5626001807
236	0.5621603799
237	0.5579834834
238	0.5567052477
239	0.5560582921
240	0.5549704509
241	0.5527606116
242	0.5523800714
243	0.5505791902
244	0.5473588147
245	0.5448480159
246	0.5442455055
247	0.5423002667
248	0.541721991
249	0.5408210135
250	0.5402691278
251	0.5397234016
252	0.5374848201
253	0.5371682732
254	0.5345639451
255	0.5340474431
256	0.5327444232
257	0.5322272829
258	0.5279318899
259	0.5267618603
260	0.5248268876
261	0.522820815
262	0.5210710314
263	0.5204544427
264	0.5195164545
265	0.5192380131
266	0.5176608602
267	0.5160676617
268	0.5155637624
269	0.5150754913
270	0.5146065227
271	0.5130934095
272	0.512127198
273	0.5116647064
274	0.5113253815
275	0.5108729403
276	0.5095845126
277	0.5092057256
278	0.5086448054
279	0.5076034997
280	0.507133324
281	0.5065513286
282	0.5055994619
283	0.5052169425
284	0.5033058854
285	0.5020453924
286	0.5009842075
287	0.5004043042
288	0.5000343445
289	0.4995135188
290	0.4991629396
291	0.4985431196
292	0.4979862155
293	0.4970267047
294	0.4962678992
295	0.4955224514
296	0.4934858133
297	0.4930919467
298	0.4927095287
299	0.4919542462
300	0.4908607216
301	0.489799818
302	0.4894367096
303	0.4875404637
304	0.4855332492
305	0.4851056687
306	0.4835401966
307	0.4831902579
308	0.4823004951
309	0.4816182943
310	0.4811280799
311	0.4799183257
312	0.4795805024
313	0.477573744
314	0.4766486318
315	0.4757121607
316	0.4752756814
317	0.4749596356
318	0.4746518017
319	0.473808335
320	0.472920009
321	0.4726643814
322	0.4721802802
323	0.4717397912
324	0.4708012565
325	0.4703753145
326	0.4695261625
327	0.4692350542
328	0.468484841
329	0.467900368
330	0.467500934
331	0.4665804413
332	0.4650052583
333	0.464081497
334	0.4624078722
335	0.4620331991
336	0.4610672426
337	0.4601434286
338	0.4593358854
339	0.4591009879
340	0.4583975639
341	0.4569082377
342	0.454223802
343	0.4521170414
344	0.4510936257
345	0.4508234635
346	0.4497512587
347	0.4493612274
348	0.4482404118
349	0.4472715747
350	0.4457785949
351	0.4451467799
352	0.444243881
353	0.4434805309
354	0.4428260899
355	0.4417631345
356	0.441097342
357	0.4391931357
358	0.4382499475
359	0.4375180822
360	0.4366777335
361	0.4360604474
362	0.4355294112
363	0.4353341242
364	0.4348791389
365	0.4328681926
366	0.431187276
367	0.4308624376
368	0.4304423905
369	0.4295405518
370	0.4293407471
371	0.4290504844
372	0.428615708
373	0.42788502
374	0.4265726532
375	0.4259588199
376	0.4250113059
377	0.4234172634
378	0.4228869032
379	0.4226712313
380	0.4219085593
381	0.4210360939
382	0.4204962388
383	0.4202176685
384	0.4200383658
385	0.4198938699
386	0.4193631619
387	0.4188741988
388	0.4182173444
389	0.4179175346
390	0.4173163907
391	0.4166473766
392	0.4162603771
393	0.4154310215
394	0.4144045315
395	0.4138952761
396	0.413151969
397	0.4115081091
398	0.4107577038
399	0.4092747994
400	0.4091322545
401	0.4088416512
402	0.4083043668
403	0.4068450951
404	0.4054425831
405	0.4042762574
406	0.4034504217
407	0.4027243241
408	0.4021067132
409	0.4019163161
410	0.4005235937
411	0.3999344371
412	0.399736129
413	0.3988249379
414	0.3984348967
415	0.3980684063
416	0.3978674706
417	0.39718554
418	0.3967388182
419	0.3958498093
420	0.3951334995
421	0.3945481454
422	0.3938470598
423	0.392749664
424	0.3921183902
425	0.3920839074
426	0.3915348929
427	0.3912101559
428	0.3904064873
429	0.3888792691
430	0.3874737589
431	0.3869239486
432	0.3861987876
433	0.3856861532
434	0.3850575756
435	0.3839386373
436	0.3811885874
437	0.3805915657
438	0.3803045516
439	0.3794590087
440	0.3786480764
441	0.3779797431
442	0.3770166672
443	0.3762655212
444	0.3760677569
445	0.3753414062
446	0.3752174984
447	0.3747389787
448	0.3734649111
449	0.373305249
450	0.3727782309
451	0.3719062045
452	0.369933095
453	0.3696796006
454	0.3691141382
455	0.3686039522
456	0.3683950977
457	0.3658920666
458	0.3643451495
459	0.3639536905
460	0.362879298
461	0.3623109782
462	0.3617571704
463	0.3612208203
464	0.3602434569
465	0.3595640539
466	0.3587958325
467	0.3580709626
468	0.3573098176
469	0.3571251767
470	0.3570092286
471	0.3565479923
472	0.3562517003
473	0.3550941253
474	0.3548258346
475	0.3543930218
476	0.3539105161
477	0.3532422799
478	0.3525118478
479	0.3518607035
480	0.3512467947
481	0.3506777318
482	0.349965722
483	0.3494007222
484	0.3492475959
485	0.3487195481
486	0.3477129138
487	0.3467408964
488	0.346430575
489	0.3452896214
490	0.3450172507
491	0.344107163
492	0.3434902023
493	0.3432370009
494	0.3429591853
495	0.3425420435
496	0.342040838
497	0.3414542582
498	0.3408770412
499	0.3402129841
500	0.3396027994
501	0.3383166666
502	0.336142567
503	0.3353407231
504	0.3346949125
505	0.3340946162
506	0.333687904
507	0.3335196618
508	0.333259959
509	0.3327943381
510	0.3324836885
511	0.3322159536
512	0.3313476211
513	0.3311889311
514	0.3305875836
515	0.3298549955
516	0.3291446132
517	0.3285245195
518	0.327586275
519	0.3266563286
520	0.3260574018
521	0.3255231
522	0.3247475614
523	0.3241632835
524	0.3235987527
525	0.3233659723
526	0.3231395835
527	0.3224354646
528	0.3222151324
529	0.3216148609
530	0.3208346502
531	0.3206230569
532	0.3204181366
533	0.3195297154
534	0.319386671
535	0.319068319
536	0.3184044356
537	0.3179341464
538	0.3169704712
539	0.3163796052
540	0.3156329088
541	0.3149425073
542	0.3141548694
543	0.3133666752
544	0.3128089155
545	0.3123483127
546	0.3119204144
547	0.3106513596
548	0.3103305726
549	0.3097783623
550	0.3093543315
551	0.3079599562
552	0.3071294724
553	0.3067647951
554	0.3060135665
555	0.3055113078
556	0.3050687355
557	0.3044381631
558	0.3042185238
559	0.3037213771
560	0.3025362609
561	0.301885954
562	0.3015176408
563	0.3011566449
564	0.3006358721
565	0.3000316655
566	0.299841377
567	0.2994437409
568	0.299311884
569	0.2991127119
570	0.2986823781
571	0.2973935279
572	0.297093614
573	0.2967003532
574	0.2961999717
575	0.2953390941
576	0.2951763105
577	0.2948177284
578	0.2946592901
579	0.2938620285
580	0.293667289
581	0.2934741728
582	0.2932408423
583	0.2927099332
584	0.2921076343
585	0.2919917004
586	0.2914093516
587	0.2911662877
588	0.2904580164
589	0.2901125266
590	0.2895048718
591	0.2889619676
592	0.2887694319
593	0.2884431873
594	0.2876980457
595	0.2871969455
596	0.2869301532
597	0.2864238833
598	0.2857291608
599	0.2852281896
600	0.2850833428
601	0.2846457949
602	0.2840828544
603	0.2835624476
604	0.2831402496
605	0.2825102477
606	0.281888326
607	0.2815702561
608	0.28142997
609	0.2812242075
610	0.2809798854
611	0.2803531843
612	0.2800733685
613	0.2799101523
614	0.2792779175
615	0.2792265878
616	0.2791946049
617	0.2788073909
618	0.2785078716
619	0.2777787524
620	0.2774519819
621	0.2766289911
622	0.2758687966
623	0.2751877723
624	0.274857274
625	0.2743972238
626	0.2741104021
627	0.2738622741
628	0.2731798569
629	0.2725419603
630	0.2724075321
631	0.2718165564
632	0.2715392064
633	0.2711506756
634	0.2709106769
635	0.2703410317
636	0.2698925546
637	0.2695203271
638	0.2690350695
639	0.2681773056
640	0.2678243843
641	0.2673812341
642	0.2670962784
643	0.2666476425
644	0.2663618883
645	0.2659516942
646	0.2655805025
647	0.2651501796
648	0.2649731575
649	0.2643151235
650	0.2639468899
651	0.2636219405
652	0.2633409104
653	0.2629123809
654	0.2625637747
655	0.2620989606
656	0.2618812623
657	0.2615586102
658	0.2611596126
659	0.2607722296
660	0.260579683
661	0.2602347175
662	0.2598803312
663	0.2595092263
664	0.2592044034
665	0.2588996003
666	0.2584753702
667	0.258312817
668	0.2580848566
669	0.2577857798
670	0.2573772186
671	0.2572269803
672	0.2570549909
673	0.2567356902
674	0.2563597644
675	0.2559645045
676	0.2554511977
677	0.2547783115
678	0.2545395662
679	0.2537639631
680	0.2532393514
681	0.253132668
682	0.2528142093
683	0.2521846538
684	0.2519569526
685	0.251633116
686	0.2512934782
687	0.2510158391
688	0.2507471109
689	0.2502422144
690	0.2497173288
691	0.2495161431
692	0.2490713962
693	0.2484648456
694	0.2481963066
695	0.2477333711
696	0.2475169604
697	0.2470259282
698	0.2464209497
699	0.2461745
700	0.2460210139
701	0.2456349054
702	0.24539037
703	0.2448322717
704	0.2444550253
705	0.2442417286
706	0.2434910481
707	0.2432403933
708	0.242928214
709	0.2425325034
710	0.2423609255
711	0.2417098007
712	0.2414355841
713	0.2410229632
714	0.2407546517
715	0.2405011678
716	0.2400139759
717	0.2394065208
718	0.2388161814
719	0.2384502574
720	0.2381148611
721	0.2379136686
722	0.2374436193
723	0.2370506354
724	0.2368248568
725	0.2365999475
726	0.2354608042
727	0.2350043692
728	0.2347833243
729	0.234458732
730	0.2342461175
731	0.2336698851
732	0.2334348795
733	0.2332244411
734	0.232699338
735	0.2321815234
736	0.2318908673
737	0.2316766281
738	0.2314695938
739	0.2312635492
740	0.2309425705
741	0.2307786973
742	0.2306431503
743	0.2303527735
744	0.2302053796
745	0.2299352522
746	0.2292482706
747	0.2291060544
748	0.2286675952
749	0.2284336012
750	0.2280864407
751	0.2278938982
752	0.2275628153
753	0.227344877
754	0.2270114911
755	0.2266804344
756	0.2262352011
757	0.2259375635
758	0.2255908079
759	0.2252953055
760	0.2250468685
761	0.224778564
762	0.2245844992
763	0.2243237869
764	0.2239991412
765	0.2237503608
766	0.2234447471
767	0.2231842795
768	0.2225408602
769	0.2222630693
770	0.2220283781
771	0.2217005564
772	0.2212574614
773	0.2209886814
774	0.2207630648
775	0.2205978709
776	0.2201781565
777	0.2198865269
778	0.2194613768
779	0.2186317921
780	0.2182701316
781	0.2181046485
782	0.2179536515
783	0.217829336
784	0.2176460999
785	0.2174346766
786	0.2172762091
787	0.2169474942
788	0.2166417425
789	0.2158026087
790	0.2156623765
791	0.2154039817
792	0.2151641475
793	0.2150130601
794	0.2146524037
795	0.2142392799
796	0.213917605
797	0.2136262748
798	0.2134860684
799	0.2131467471
800	0.2130207011
801	0.2127654164
802	0.2123971373
803	0.2120975537
804	0.2117216526
805	0.2115663575
806	0.2108814477
807	0.2105724735
808	0.2104275307
809	0.210062952
810	0.2096228143
811	0.2094597327
812	0.2090869691
813	0.2089075514
814	0.2083692723
815	0.208053484
816	0.207862948
817	0.2075058834
818	0.2072055615
819	0.2066482637
820	0.2065017771
821	0.206164766
822	0.2059049931
823	0.2054926784
824	0.2052347187
825	0.2051185875
826	0.2049153329
827	0.2045096327
828	0.204249657
829	0.2039843904
830	0.2037258875
831	0.2032989145
832	0.2029717279
833	0.2028290248
834	0.2025833622
835	0.2023562091
836	0.2021811236
837	0.2019539243
838	0.2017314053
839	0.2015726418
840	0.2010889001
841	0.2008424174
842	0.2007370424
843	0.2003999429
844	0.2001743962
845	0.1999479838
846	0.1997792419
847	0.1996376911
848	0.1994484182
849	0.1989946683
850	0.198813878
851	0.1986276757
852	0.1984142613
853	0.1981144663
854	0.1979590903
855	0.1978029481
856	0.1977242646
857	0.1974939592
858	0.1973047483
859	0.1971192434
860	0.1968771102
861	0.196673844
862	0.1966191605
863	0.1963832059
864	0.1963001595
865	0.1961386056
866	0.1959492273
867	0.1954418325
868	0.1953153014
869	0.1951384949
870	0.1948608625
871	0.1947357533
872	0.1945219965
873	0.1943266136
874	0.1941295929
875	0.1939820977
876	0.1937299391
877	0.1936004374
878	0.1933836723
879	0.1930060848
880	0.1927795253
881	0.192476546
882	0.1922805199
883	0.1922308017
