iter	Passed	Remaining
0	2	2099
1	3	1821
2	5	1720
3	6	1704
4	8	1642
5	9	1582
6	11	1659
7	13	1622
8	14	1633
9	16	1621
10	18	1642
11	19	1630
12	21	1604
13	22	1582
14	23	1564
15	26	1599
16	27	1598
17	29	1592
18	30	1599
19	32	1610
20	34	1595
21	36	1607
22	37	1605
23	39	1604
24	41	1611
25	42	1601
26	44	1590
27	45	1581
28	47	1580
29	48	1572
30	50	1572
31	51	1559
32	52	1547
33	54	1536
34	57	1588
35	58	1577
36	60	1568
37	61	1553
38	62	1540
39	63	1526
40	64	1516
41	65	1503
42	67	1491
43	68	1481
44	69	1479
45	71	1472
46	72	1472
47	75	1497
48	82	1610
49	84	1605
50	85	1597
51	87	1589
52	88	1579
53	90	1591
54	92	1583
55	95	1609
56	96	1599
57	97	1589
58	99	1582
59	100	1575
60	102	1571
61	103	1563
62	104	1555
63	105	1546
64	106	1537
65	108	1529
66	109	1521
67	110	1514
68	111	1505
69	112	1498
70	113	1489
71	115	1482
72	116	1475
73	117	1473
74	118	1466
75	120	1461
76	121	1455
77	122	1448
78	123	1442
79	124	1435
80	125	1428
81	127	1422
82	128	1417
83	129	1411
84	130	1406
85	131	1401
86	132	1395
87	134	1390
88	135	1385
89	136	1381
90	137	1377
91	139	1372
92	140	1366
93	141	1362
94	142	1357
95	143	1352
96	144	1346
97	145	1342
98	146	1337
99	148	1333
100	149	1330
101	150	1326
102	151	1323
103	153	1319
104	154	1315
105	155	1311
106	156	1307
107	157	1303
108	158	1298
109	160	1294
110	161	1290
111	162	1286
112	163	1282
113	164	1278
114	170	1313
115	172	1313
116	174	1313
117	175	1309
118	176	1307
119	178	1307
120	179	1306
121	181	1304
122	182	1301
123	183	1297
124	186	1306
125	188	1304
126	189	1300
127	190	1296
128	191	1292
129	192	1288
130	193	1284
131	194	1281
132	196	1277
133	198	1279
134	199	1276
135	200	1273
136	201	1269
137	202	1266
138	203	1262
139	205	1263
140	207	1262
141	208	1260
142	210	1259
143	212	1261
144	217	1284
145	219	1283
146	220	1280
147	221	1275
148	222	1271
149	223	1267
150	224	1264
151	226	1261
152	227	1258
153	228	1255
154	229	1252
155	231	1254
156	233	1255
157	242	1291
158	244	1292
159	246	1291
160	247	1290
161	249	1289
162	250	1286
163	252	1285
164	253	1282
165	254	1280
166	256	1277
167	257	1274
168	258	1272
169	260	1270
170	261	1267
171	262	1265
172	264	1264
173	265	1261
174	267	1260
175	268	1256
176	269	1253
177	270	1250
178	271	1246
179	273	1244
180	274	1240
181	275	1238
182	276	1235
183	277	1231
184	278	1228
185	280	1225
186	281	1222
187	282	1220
188	283	1216
189	285	1215
190	286	1213
191	291	1226
192	293	1226
193	294	1224
194	296	1225
195	298	1223
196	299	1222
197	301	1220
198	302	1218
199	311	1246
200	312	1243
201	314	1240
202	315	1238
203	316	1235
204	318	1233
205	319	1231
206	321	1230
207	322	1227
208	324	1226
209	328	1237
210	330	1234
211	331	1231
212	332	1228
213	333	1224
214	335	1224
215	336	1222
216	338	1221
217	339	1218
218	340	1215
219	342	1213
220	343	1210
221	344	1207
222	346	1207
223	347	1204
224	349	1203
225	351	1202
226	357	1217
227	358	1214
228	360	1213
229	361	1211
230	363	1209
231	364	1207
232	365	1204
233	367	1203
